from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,RF,SR,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
07-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
08-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
21-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
22-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
23-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
24-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
25-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
26-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
27-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
28-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
29-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
30-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Jan-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
31-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
01-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
03-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
05-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
06-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
07-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
11-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
13-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
14-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
15-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
17-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
18-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
19-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
20-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
24-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
25-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
26-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
27-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Feb-2020 - 00:00,"New Industrial Town, Faridabad - HSPCB"
