from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,WS,WD,RH,RF,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
07-Jan-2020 - 00:00,,,,,,,,,,,,,,08-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
08-Jan-2020 - 00:00,,,,,,,,,,,,,,09-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
21-Jan-2020 - 00:00,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
22-Jan-2020 - 00:00,45.06,74.67,38.94,62.85,23.9,4.32,9.74,1.36,8.35,1.55,176.65,59.9,0.0,23-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
23-Jan-2020 - 00:00,51.45,85.1,26.09,58.02,31.92,3.7,8.95,1.27,5.56,1.15,226.0,64.37,0.0,24-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
24-Jan-2020 - 00:00,,,,,,,,,,,,,,25-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
25-Jan-2020 - 00:00,,,,,,,,,,,,,,26-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
