from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,RF,SR,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
07-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
08-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"Kariavattom, Thiruvananthapuram - Kerala PCB"
