from date,NOx,PM2.5,PM10,SO2,to date,station
01-Jan-2018 - 00:00,,,,,02-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Jan-2018 - 00:00,,,,,03-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Jan-2018 - 00:00,,,,,04-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Jan-2018 - 00:00,,,,,05-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Jan-2018 - 00:00,,,,,06-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Jan-2018 - 00:00,,,,,07-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Jan-2018 - 00:00,,,,,08-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Jan-2018 - 00:00,,,,,09-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Jan-2018 - 00:00,,,,,10-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Jan-2018 - 00:00,,,,,11-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Jan-2018 - 00:00,,,,,12-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Jan-2018 - 00:00,,,,,13-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Jan-2018 - 00:00,,,,,14-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Jan-2018 - 00:00,,,,,15-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Jan-2018 - 00:00,,,,,16-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Jan-2018 - 00:00,,,,,17-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Jan-2018 - 00:00,,,,,18-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Jan-2018 - 00:00,,,,,19-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Jan-2018 - 00:00,,,,,20-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Jan-2018 - 00:00,,,,,21-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Jan-2018 - 00:00,,,,,22-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Jan-2018 - 00:00,,,,,23-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Jan-2018 - 00:00,,,,,24-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Jan-2018 - 00:00,,,,,25-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Jan-2018 - 00:00,,,,,26-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Jan-2018 - 00:00,,,,,27-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Jan-2018 - 00:00,,,,,28-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Jan-2018 - 00:00,,,,,29-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Jan-2018 - 00:00,,,,,30-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Jan-2018 - 00:00,,,,,31-Jan-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Jan-2018 - 00:00,,,,,01-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Feb-2018 - 00:00,,,,,02-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Feb-2018 - 00:00,,,,,03-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Feb-2018 - 00:00,,,,,04-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Feb-2018 - 00:00,,,,,05-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Feb-2018 - 00:00,,,,,06-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Feb-2018 - 00:00,,,,,07-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Feb-2018 - 00:00,,,,,08-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Feb-2018 - 00:00,,,,,09-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Feb-2018 - 00:00,,,,,10-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Feb-2018 - 00:00,,,,,11-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
