from date,NO2,SO2,CO,PM10,PM2.5,to date,station
01-Jan-2018 - 00:00,,,,,,02-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Jan-2018 - 00:00,,,,,,03-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Jan-2018 - 00:00,,,,,,04-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Jan-2018 - 00:00,,,,,,05-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Jan-2018 - 00:00,,,,,,06-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Jan-2018 - 00:00,,,,,,07-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Jan-2018 - 00:00,,,,,,08-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Jan-2018 - 00:00,,,,,,09-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Jan-2018 - 00:00,,,,,,10-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-Jan-2018 - 00:00,,,,,,11-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Jan-2018 - 00:00,,,,,,12-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Jan-2018 - 00:00,,,,,,13-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Jan-2018 - 00:00,,,,,,14-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Jan-2018 - 00:00,,,,,,15-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Jan-2018 - 00:00,,,,,,16-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Jan-2018 - 00:00,,,,,,17-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Jan-2018 - 00:00,,,,,,18-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Jan-2018 - 00:00,,,,,,19-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Jan-2018 - 00:00,,,,,,20-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Jan-2018 - 00:00,,,,,,21-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Jan-2018 - 00:00,,,,,,22-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Jan-2018 - 00:00,,,,,,23-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Jan-2018 - 00:00,,,,,,24-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Jan-2018 - 00:00,,,,,,25-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Jan-2018 - 00:00,,,,,,26-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Jan-2018 - 00:00,,,,,,27-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Jan-2018 - 00:00,,,,,,28-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Jan-2018 - 00:00,,,,,,29-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-Jan-2018 - 00:00,,,,,,30-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-Jan-2018 - 00:00,,,,,,31-Jan-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
31-Jan-2018 - 00:00,,,,,,01-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Feb-2018 - 00:00,,,,,,02-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Feb-2018 - 00:00,,,,,,03-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Feb-2018 - 00:00,,,,,,04-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Feb-2018 - 00:00,,,,,,05-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Feb-2018 - 00:00,,,,,,06-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Feb-2018 - 00:00,,,,,,07-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Feb-2018 - 00:00,,,,,,08-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Feb-2018 - 00:00,,,,,,09-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Feb-2018 - 00:00,,,,,,10-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-Feb-2018 - 00:00,,,,,,11-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Feb-2018 - 00:00,,,,,,12-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Feb-2018 - 00:00,,,,,,13-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Feb-2018 - 00:00,,,,,,14-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Feb-2018 - 00:00,,,,,,15-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Feb-2018 - 00:00,,,,,,16-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Feb-2018 - 00:00,,,,,,17-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Feb-2018 - 00:00,,,,,,18-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Feb-2018 - 00:00,,,,,,19-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Feb-2018 - 00:00,,,,,,20-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Feb-2018 - 00:00,,,,,,21-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Feb-2018 - 00:00,,,,,,22-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Feb-2018 - 00:00,,,,,,23-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Feb-2018 - 00:00,,,,,,24-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Feb-2018 - 00:00,,,,,,25-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Feb-2018 - 00:00,,,,,,26-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Feb-2018 - 00:00,,,,,,27-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Feb-2018 - 00:00,,,,,,28-Feb-2018 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
