from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Patparganj, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
01-Feb-2018 - 00:00,22.13,988.19,429.89,170.05,51.82,224.71,249.06,0.32,0.0,,,,54.69,30.84,75.22,94.37,2.5,,7.65,02-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
02-Feb-2018 - 00:00,18.3,986.84,346.91,141.28,68.16,151.94,254.92,0.32,0.0,,,,85.15,35.09,72.27,55.23,1.4,,6.86,03-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
03-Feb-2018 - 00:00,17.28,989.42,277.92,155.83,56.83,160.63,264.65,0.37,0.0,,,,66.3,25.16,63.39,52.06,1.27,,6.45,04-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
04-Feb-2018 - 00:00,16.2,989.86,269.38,122.46,55.96,169.51,274.15,0.43,0.0,0.66,3.49,0.76,75.52,20.55,50.68,30.86,1.16,12.2,7.29,05-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
05-Feb-2018 - 00:00,15.48,992.18,305.67,146.58,51.44,121.17,258.84,0.31,0.0,0.92,2.66,0.41,71.7,39.08,73.48,41.98,1.52,50.16,8.97,06-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
06-Feb-2018 - 00:00,16.64,991.87,254.85,174.07,49.64,107.84,270.66,0.45,0.0,0.8,2.73,0.36,69.8,23.82,54.53,39.62,1.17,47.87,7.9,07-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
07-Feb-2018 - 00:00,16.0,988.89,228.14,128.82,50.34,163.34,266.32,0.44,0.0,1.05,2.22,0.31,64.04,21.87,50.75,43.56,1.35,71.33,6.87,08-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
08-Feb-2018 - 00:00,15.25,988.19,310.22,168.67,59.5,132.48,251.83,0.28,0.0,3.98,1.68,0.39,37.84,35.95,80.94,132.76,2.58,49.5,4.76,09-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
09-Feb-2018 - 00:00,15.81,988.26,311.53,210.12,60.36,161.29,256.76,0.31,0.0,2.66,2.38,0.37,54.41,44.32,80.25,96.09,2.39,43.74,6.82,10-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
10-Feb-2018 - 00:00,16.2,991.17,392.45,240.21,60.45,141.63,222.72,0.29,0.0,6.08,2.37,0.53,31.48,44.29,83.86,251.84,3.88,36.19,6.27,11-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
11-Feb-2018 - 00:00,17.15,,284.3,149.89,54.33,124.64,142.96,1.05,0.0,2.23,1.5,0.37,39.04,33.12,64.92,124.0,1.56,44.5,6.08,12-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
12-Feb-2018 - 00:00,15.86,994.45,133.66,71.16,76.02,105.33,103.82,1.85,0.0,0.25,1.14,0.2,59.44,13.53,32.21,20.84,0.57,34.11,5.33,13-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
13-Feb-2018 - 00:00,16.62,996.59,143.83,93.29,78.88,148.15,225.02,0.39,0.0,0.59,1.99,0.3,60.36,28.73,54.77,37.62,1.02,47.31,5.07,14-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
14-Feb-2018 - 00:00,16.85,996.11,114.5,65.12,62.52,176.36,271.09,0.57,0.0,0.5,1.37,0.2,46.47,5.87,30.54,19.25,0.59,56.3,4.08,15-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
15-Feb-2018 - 00:00,17.88,993.88,130.54,73.67,61.88,165.19,270.47,0.57,0.0,0.43,1.63,0.23,52.58,9.42,31.16,21.66,0.77,65.87,5.99,16-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
16-Feb-2018 - 00:00,18.4,992.59,178.96,92.88,68.83,158.76,272.15,0.41,0.0,0.77,1.79,0.23,61.08,18.17,45.54,29.58,1.13,52.37,6.82,17-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
