from date,PM10,PM2.5,NOx,CO,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,02-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Jan-2018 - 00:00,,,,,,03-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Jan-2018 - 00:00,,,,,,04-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Jan-2018 - 00:00,,,,,,05-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Jan-2018 - 00:00,,,,,,06-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Jan-2018 - 00:00,,,,,,07-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Jan-2018 - 00:00,,,,,,08-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Jan-2018 - 00:00,,,,,,09-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Jan-2018 - 00:00,,,,,,10-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Jan-2018 - 00:00,,,,,,11-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Jan-2018 - 00:00,,,,,,12-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Jan-2018 - 00:00,,,,,,13-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Jan-2018 - 00:00,,,,,,14-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Jan-2018 - 00:00,,,,,,15-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Jan-2018 - 00:00,,,,,,16-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Jan-2018 - 00:00,,,,,,17-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Jan-2018 - 00:00,,,,,,18-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Jan-2018 - 00:00,,,,,,19-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Jan-2018 - 00:00,,,,,,20-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Jan-2018 - 00:00,,,,,,21-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Jan-2018 - 00:00,,,,,,22-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Jan-2018 - 00:00,,,,,,23-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Jan-2018 - 00:00,,,,,,24-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Jan-2018 - 00:00,,,,,,25-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Jan-2018 - 00:00,,,,,,26-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Jan-2018 - 00:00,,,,,,27-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Jan-2018 - 00:00,,,,,,28-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Jan-2018 - 00:00,,,,,,29-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Jan-2018 - 00:00,,,,,,30-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Jan-2018 - 00:00,,,,,,31-Jan-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
31-Jan-2018 - 00:00,,,,,,01-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Feb-2018 - 00:00,,,,,,02-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Feb-2018 - 00:00,199.02,23.95,1.34,1.81,7.32,03-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Feb-2018 - 00:00,236.78,69.81,3.36,1.9,7.37,04-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Feb-2018 - 00:00,141.56,29.71,0.17,1.77,6.95,05-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Feb-2018 - 00:00,,0.0,0.0,0.1,,06-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Feb-2018 - 00:00,264.79,12.78,0.02,0.43,5.87,07-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Feb-2018 - 00:00,123.52,8.13,1.15,1.55,5.39,08-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
