from date,PM10,PM2.5,WD,WS,RH,Temp,SO2,NOx,NH3,CO,Ozone,NO,NO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
