from date,NO2,SO2,CO,Ozone,PM2.5,PM10,NH3,Benzene,RH,SR,WS,WD,RF,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
